start_ip,end_ip,join_key,size,domain
106.185.192.0,106.185.223.255,106.185.0.0,8192,dion.ne.jp
108.175.15.25,108.175.15.25,108.175.0.0,1,datashops.com
111.190.176.8,111.190.176.10,111.190.0.0,3,bbtec.net
102.141.152.155,102.141.152.155,102.141.0.0,1,102-141-152-155.in-addr.arpa
104.248.235.40,104.248.235.40,104.248.0.0,1,damagemonitor.com
104.217.142.1,104.217.142.81,104.217.0.0,81,psychz.net
110.145.162.181,110.145.162.182,110.145.0.0,2,telstra.net
103.238.221.46,103.238.221.62,103.238.0.0,17,sarvmail.com
109.228.26.247,109.228.26.247,109.228.0.0,1,riskassessor.net
113.11.29.128,113.11.29.128,113.11.0.0,1,113-11-29-128-smile.com.bd
109.248.201.29,109.248.201.30,109.248.0.0,2,cloud4box.ru
111.111.50.1,111.111.50.254,111.111.0.0,254,dion.ne.jp
111.189.151.127,111.189.151.128,111.189.0.0,2,bbtec.net
1.114.247.79,1.114.247.84,1.114.0.0,6,bbtec.net
1.114.42.239,1.114.42.239,1.114.0.0,1,bbtec.net
1.115.42.215,1.115.42.216,1.115.0.0,2,bbtec.net
109.234.39.31,109.234.39.31,109.234.0.0,1,diskordapp.ru
103.26.40.140,103.26.40.142,103.26.0.0,3,bizmailcloud.com
102.141.130.201,102.141.130.201,102.141.0.0,1,102-141-130-201.in-addr.arpa
105.16.10.2,105.16.10.2,105.16.0.0,1,zaseacomnet.com
103.9.169.40,103.9.169.40,103.9.0.0,1,nosetotailvps.com
106.133.194.1,106.133.194.254,106.133.0.0,254,au-net.ne.jp
110.142.98.31,110.142.98.31,110.142.0.0,1,telstra.net
110.143.7.214,110.143.7.214,110.143.0.0,1,telstra.net
109.228.36.74,109.228.36.74,109.228.0.0,1,online-server.cloud
104.171.253.1,104.171.253.254,104.171.0.0,254,epbfi.com
110.143.187.126,110.143.187.129,110.143.0.0,4,telstra.net
109.70.2.76,109.70.2.76,109.70.0.0,1,it1.nl
109.205.178.62,109.205.178.62,109.205.0.0,1,e-manager.work
106.75.105.85,106.75.105.85,106.75.0.0,1,4vxouyq.cn
109.232.152.26,109.232.152.26,109.232.0.0,1,msdigital.co.uk
103.163.160.252,103.163.160.252,103.163.0.0,1,as.net.id
104.131.140.27,104.131.140.27,104.131.0.0,1,4000114.com
106.51.237.55,106.51.238.73,106.51.0.0,275,actcorp.in
110.170.9.38,110.170.9.48,110.170.0.0,11,asianet.co.th
104.248.137.251,104.248.137.251,104.248.0.0,1,ondigitalocean.com
109.129.141.105,109.129.141.111,109.129.0.0,7,belgacom.be
111.90.145.210,111.90.145.210,111.90.0.0,1,bicicletasarco.com
1.113.200.19,1.113.200.19,1.113.0.0,1,bbtec.net
103.16.129.82,103.16.129.82,103.16.0.0,1,crypt.net.au
108.129.11.21,108.129.11.21,108.129.0.0,1,demits.eu
1.113.137.192,1.113.137.192,1.113.0.0,1,bbtec.net
103.138.37.27,103.138.37.31,103.138.0.0,5,futurebroadband.com.au
111.65.227.209,111.65.227.209,111.65.0.0,1,isx.net.nz
109.233.80.3,109.233.80.28,109.233.0.0,26,109.in-addr.arpa
108.59.196.165,108.59.196.165,108.59.0.0,1,gireatv.site
107.0.83.37,107.0.83.37,107.0.0.0,1,comcast.net
107.173.194.162,107.173.194.162,107.173.0.0,1,parkasmock.com
108.11.234.2,108.11.234.254,108.11.0.0,253,verizon.net
109.170.0.100,109.170.0.100,109.170.0.0,1,morka.tv
108.27.67.196,108.27.67.196,108.27.0.0,1,faunaandflora.com
102.141.133.230,102.141.133.230,102.141.0.0,1,102-141-133-230.in-addr.arpa
104.216.0.111,104.216.0.111,104.216.0.0,1,syscjnz.com
101.187.72.54,101.187.72.55,101.187.0.0,2,telstra.net
107.208.96.1,107.208.96.254,107.208.0.0,254,sbcglobal.net
103.11.147.23,103.11.147.23,103.11.0.0,1,gohosting.com.au
109.74.135.66,109.74.135.66,109.74.0.0,1,big.ru
103.197.151.229,103.197.151.229,103.197.0.0,1,indoormade.com
103.7.56.10,103.7.56.10,103.7.0.0,1,eloshost.com
111.188.204.85,111.188.204.89,111.188.0.0,5,bbtec.net
107.53.75.120,107.53.75.254,107.53.0.0,135,spcsdns.net
1.115.47.163,1.115.47.168,1.115.0.0,6,bbtec.net
110.143.97.96,110.143.97.98,110.143.0.0,3,telstra.net
1.114.105.229,1.114.105.231,1.114.0.0,3,bbtec.net
